,item_description,price,date_listed,description_upper,matched_description,score
26,"TOOLS, 18 CF FREEZER , 30 IN TORO MOWER",$100,Apr  5,TOOLS     CF FREEZER      IN TORO MOWER, FREEZER     ,90
27,Hamilton Beach Water Cooler Dispenser Bottom Loading BL-1-3,$80,Mar 31,HAMILTON BEACH WATER COOLER DISPENSER BOTTOM LOADING BL    , ELECTRIC WATER BOILER   ,86
28,Viva Self Cleaning Stainless Steel Bottom Load Water Dispenser Cooler,$70,Mar 31,VIVA SELF CLEANING STAINLESS STEEL BOTTOM LOAD WATER DISPENSER COOLER, ELECTRIC WATER BOILER   ,86
30,Insignia Top Loading Washer- Awesome,$200,Apr 13,INSIGNIA TOP LOADING WASHER  AWESOME, COMBO WASHER DRYER   ,86
31,Washer and dryer  Gas dryer. Front load.  Heavy duty,$759,Apr 14,WASHER AND DRYER  GAS DRYER  FRONT LOAD   HEAVY DUTY, CLOTHES DRYER    ,86
32,Washer/dryer Gas dryer front load  heavy duty,$759,Apr 10,WASHER DRYER GAS DRYER FRONT LOAD  HEAVY DUTY, CLOTHES DRYER    ,86
33,Over The Range Microwave Hood Vent Light Combo,$30,Apr 13,OVER THE RANGE MICROWAVE HOOD VENT LIGHT COMBO, COMBO WASHER DRYER   ,86
37,Ninja - 12-Cup Coffee Maker - Black/Stainless Steel - Brand New in box,$69,Apr 12,NINJA      CUP COFFEE MAKER   BLACK STAINLESS STEEL   BRAND NEW IN BOX, BOX MANGLE    ,86
38,Brand New Sealed 1.6-cu ft Over-the-Range Microwave (Black),$149,Apr 12,BRAND NEW SEALED     CU FT OVER THE RANGE MICROWAVE  BLACK , MICROWAVE OVEN    ,86
39,Brand New Sealed in box Oster - Air Fryer Toaster Oven - Black,$98,Apr 12,BRAND NEW SEALED IN BOX OSTER   AIR FRYER TOASTER OVEN   BLACK, TOASTER OVEN    ,90
40,Brand New Emerald Air Fryer 1800 Watts Digital LED Touch Display 5.2L,$59,Apr 12,BRAND NEW EMERALD AIR FRYER      WATTS DIGITAL LED TOUCH DISPLAY    L, AIR CONDITIONER    ,86
41,Washer   Kenmore brand.  Heavy duty   Moving,$179,Apr 12,WASHER   KENMORE BRAND   HEAVY DUTY   MOVING, COMBO WASHER DRYER   ,86
42,Gas Dryer Kenmore,$50,Mar 11,GAS DRYER KENMORE, FUTON DRYER    ,86
43,"Water Softener , BEST PRICE IN HOUSTON!!!!!",$0,Feb 29,WATER SOFTENER   BEST PRICE IN HOUSTON     , ELECTRIC WATER BOILER   ,86
44,Compact washer machine,$100,Mar  3,COMPACT WASHER MACHINE, SEWING MACHINE    ,86
46,Washer dryer,$0,Mar 15,WASHER DRYER,WASHER   DRYER,95
47,Electrolux Vacuum Cleaner,$30,Mar 17,ELECTROLUX VACUUM CLEANER, VACUUM CLEANER    ,90
50,LG Electric Washer and Dryer,$1100,Mar 30,LG ELECTRIC WASHER AND DRYER, CLOTHES DRYER    ,86
51,Whirlpool stackable washer and electric dryer,$575,Apr  3,WHIRLPOOL STACKABLE WASHER AND ELECTRIC DRYER, CLOTHES DRYER    ,86
52,New electric dryer kenmore,$400,Apr  4,NEW ELECTRIC DRYER KENMORE, CLOTHES DRYER    ,86
53,nice LG front load washer and gas dryer,$790,Apr 12,NICE LG FRONT LOAD WASHER AND GAS DRYER, CLOTHES DRYER    ,86
54,nice LG front load washer and dryer,$890,Apr 12,NICE LG FRONT LOAD WASHER AND DRYER, CLOTHES DRYER    ,86
55,Full size nice Ge stackable washer and electric dryer,$775,Apr 12,FULL SIZE NICE GE STACKABLE WASHER AND ELECTRIC DRYER, CLOTHES DRYER    ,86
56,Gray pedestals with storage drawer for Kenmore/Whirlpool washer-dryer,$250,Apr 13,GRAY PEDESTALS WITH STORAGE DRAWER FOR KENMORE WHIRLPOOL WASHER DRYER, CLOTHES DRYER    ,86
57,Samsung electric front-load dryer 9.5 cu.ft,$650,Apr 14,SAMSUNG ELECTRIC FRONT LOAD DRYER     CU FT, CLOTHES DRYER    ,86
58,4 prong dryer electric cord power cord #2920,$10,Apr  1,  PRONG DRYER ELECTRIC CORD POWER CORD      , CLOTHES DRYER    ,86
59,Infrared fireplace heater #3054,$80,Apr  5,INFRARED FIREPLACE HEATER      , FAN HEATER    ,86
60,Keurig 2.0 coffee maker and Keurig carafe #2625,$70,Apr 11,KEURIG     COFFEE MAKER AND KEURIG CARAFE      , COFFEE GRINDER    ,86
61,Old Marvel mini fridge mini refrigerator #2938,$75,Apr 14,OLD MARVEL MINI FRIDGE MINI REFRIGERATOR      , REFRIGERATOR     ,90
62,Otis Spunkmeyer cookie oven #2940,$80,Apr 14,OTIS SPUNKMEYER COOKIE OVEN      , OVEN     ,90
63,"Server stainless steel sauce warmer, soup keeper #2854",$50,Apr 14,SERVER STAINLESS STEEL SAUCE WARMER  SOUP KEEPER      ,SERVER    ,90
64,Vintage look electric heater fireplace #3099,$80,Apr 14,VINTAGE LOOK ELECTRIC HEATER FIREPLACE      , ELECTRIC COOKER    ,86
66,Samsung Refrigerator 28 Cu.Ft.,$1499,Apr  3,SAMSUNG REFRIGERATOR    CU FT , REFRIGERATOR     ,90
68,Bissell Vacuum,$20,Mar 17,BISSELL VACUUM, CENTRAL VACUUM CLEANER   ,86
70,Whirlpool washer and dryer laundry center apartment size,$575,Apr 13,WHIRLPOOL WASHER AND DRYER LAUNDRY CENTER APARTMENT SIZE, CLOTHES DRYER    ,86
71,Maytag Centennial commercial gas dryer,$95,Mar 16,MAYTAG CENTENNIAL COMMERCIAL GAS DRYER, CLOTHES DRYER    ,86
72,Whirlpool Duet Washer & Drier,$499,Mar 28,WHIRLPOOL DUET WASHER   DRIER, COMBO WASHER DRYER   ,86
73,Samsung Aqua-Pure Plus Refrigerator Water Filter,$15,Mar 23,SAMSUNG AQUA PURE PLUS REFRIGERATOR WATER FILTER, REFRIGERATOR     ,90
74,Electrolux IQ-Touch Electric Dryer,$650,Mar 11,ELECTROLUX IQ TOUCH ELECTRIC DRYER, CLOTHES DRYER    ,86
75,new microwave for sale,$175,Mar 20,NEW MICROWAVE FOR SALE, MICROWAVE OVEN    ,86
76,meat grinder for sale,$50,Mar 20,MEAT GRINDER FOR SALE, MEAT GRINDER    ,90
78,Brand New Breville Mini Smart Oven,$150,Apr 13,BRAND NEW BREVILLE MINI SMART OVEN, CONVECTION OVEN    ,86
79,Use my Acima credit line for new appliance or furniture,$1500,Apr  8,USE MY ACIMA CREDIT LINE FOR NEW APPLIANCE OR FURNITURE, APPLIANCE PLUG    ,86
80,LG WINDOW AC UNIT,$60,Apr 11,LG WINDOW AC UNIT, WINDOW FAN    ,86
81,Water filter for the whole house,$0,Mar  4,WATER FILTER FOR THE WHOLE HOUSE, WATER FILTER,90
82,Coleman 40-Quart PowerChill Thermoelectric Cooler with Power Cord,$89,Mar 10,COLEMAN    QUART POWERCHILL THERMOELECTRIC COOLER WITH POWER CORD, EVAPORATIVE COOLER    ,86
83,MINI REFRIGERATOR 4.4 CU.FT,$139,Mar 18,MINI REFRIGERATOR     CU FT, REFRIGERATOR     ,90
84,Water softener & conditioner,$1,Mar 25,WATER SOFTENER   CONDITIONER, AIR CONDITIONER    ,86
85,Pleasant Hearth 42 in. Natural Gas Intermediate Heritage Vent Free Fir,$566,Mar 25,PLEASANT HEARTH    IN  NATURAL GAS INTERMEDIATE HERITAGE VENT FREE FIR, GAS APPLIANCE    ,86
86,Drinkable water with softener. & conditioner,$69,Apr  6,DRINKABLE WATER WITH SOFTENER    CONDITIONER, AIR CONDITIONER    ,86
87,Drinkable water alkaine filtration systems,$1,Apr 11,DRINKABLE WATER ALKAINE FILTRATION SYSTEMS, ELECTRIC WATER BOILER   ,86
88,Water filtration systems,$1,Apr 13,WATER FILTRATION SYSTEMS, WATER COOKER    ,86
89,Water softener & conditioner,$1,Apr 13,WATER SOFTENER   CONDITIONER, AIR CONDITIONER    ,86
91,Dryer,$50,Mar 27,DRYER, CLOTHES DRYER    ,90
92,Water softener & conditioner,$799,Apr 13,WATER SOFTENER   CONDITIONER, AIR CONDITIONER    ,86
93,Water softener & conditioner,$1,Apr 13,WATER SOFTENER   CONDITIONER, AIR CONDITIONER    ,86
94,Water softener & conditioner,$1,Apr 13,WATER SOFTENER   CONDITIONER, AIR CONDITIONER    ,86
95,Water softener & conditioner,$1,Apr 13,WATER SOFTENER   CONDITIONER, AIR CONDITIONER    ,86
97,Whirlpool gas dryer,$120,Apr 14,WHIRLPOOL GAS DRYER, FUTON DRYER    ,86
98,Kenmore elite stove range,$150,Apr  5,KENMORE ELITE STOVE RANGE, KITCHEN STOVE ,86
99,"RevoAce 4-Burner Gas Grill with Side Burner, Pewter Fleck and Black",$155,Apr 14,REVOACE   BURNER GAS GRILL WITH SIDE BURNER  PEWTER FLECK AND BLACK, GAS APPLIANCE    ,86
100,Washer & Dryer,$700,Mar 26,WASHER   DRYER,WASHER   DRYER,100
102,21 CU. FT. SIDE BY SIDE REFRIGERATOR IN WHITE,$799,Mar  8,   CU  FT  SIDE BY SIDE REFRIGERATOR IN WHITE, REFRIGERATOR     ,90
103,SAMSUNG - 27.8 CU. FT. 4-DOOR FRENCH DOOR REFRIGERATOR WITH FOOD SHOWC,$1699,Mar 10,SAMSUNG        CU  FT    DOOR FRENCH DOOR REFRIGERATOR WITH FOOD SHOWC, REFRIGERATOR     ,90
104,23.5 CU. FT. FRENCH DOOR SMART REFRIGERATOR W/DUAL ICEMAKER & WI-FI EN,$1999,Mar  8,     CU  FT  FRENCH DOOR SMART REFRIGERATOR W DUAL ICEMAKER   WI FI EN, REFRIGERATOR     ,90
105,9.8 CU. FT. TOP FREEZER REFRIGERATOR IN WHITE,$389,Mar  8,    CU  FT  TOP FREEZER REFRIGERATOR IN WHITE, FREEZER     ,90
106,KITCHENAID - 23.8 CU. FT. FRENCH DOOR COUNTER-DEPTH REFRIGERATOR - BLA,$2499,Mar  8,KITCHENAID        CU  FT  FRENCH DOOR COUNTER DEPTH REFRIGERATOR   BLA, REFRIGERATOR     ,90
107,SAMSUNG 24.6-CU FT FRENCH DOOR REFRIGERATOR WITH DUAL ICE MAKER (FINGE,$1699,Mar 10,SAMSUNG      CU FT FRENCH DOOR REFRIGERATOR WITH DUAL ICE MAKER  FINGE, REFRIGERATOR     ,90
108,SAMSUNG 24.6-CU FT FRENCH DOOR REFRIGERATOR WITH DUAL ICE MAKER (FINGE,$999,Mar  8,SAMSUNG      CU FT FRENCH DOOR REFRIGERATOR WITH DUAL ICE MAKER  FINGE, REFRIGERATOR     ,90
109,LG - 26.2 CU. FT. SIDE-BY-SIDE REFRIGERATOR WITH THRU-THE-DOOR ICE AND,$899,Mar  5,LG        CU  FT  SIDE BY SIDE REFRIGERATOR WITH THRU THE DOOR ICE AND, REFRIGERATOR     ,90
110,"22.5 CU. FT. 4-DOORFLEX FRENCH DOOR REFRIGERATOR IN STAINLESS STEEL, C",$1899,Mar  8,     CU  FT    DOORFLEX FRENCH DOOR REFRIGERATOR IN STAINLESS STEEL  C, REFRIGERATOR     ,90
111,WHIRLPOOL 21.4-CU FT SIDE-BY-SIDE REFRIGERATOR WITH ICE MAKER (FINGERP,$799,Mar  5,WHIRLPOOL      CU FT SIDE BY SIDE REFRIGERATOR WITH ICE MAKER  FINGERP, REFRIGERATOR     ,90
112,MAYTAG 4.5-CU FT HIGH EFFICIENCY STACKABLE FRONT-LOAD WASHER (METALLIC,$529,Mar  8,MAYTAG     CU FT HIGH EFFICIENCY STACKABLE FRONT LOAD WASHER  METALLIC, COMBO WASHER DRYER   ,86
113,36 IN. W 27.8 CU. FT. FRENCH DOOR REFRIGERATOR WITH DOOR-IN-DOOR IN BL,$1949,Mar  4,   IN  W      CU  FT  FRENCH DOOR REFRIGERATOR WITH DOOR IN DOOR IN BL, REFRIGERATOR     ,90
114,Sears 49599 5' Water Hose for Ice Makers,$9,Apr 14,SEARS          WATER HOSE FOR ICE MAKERS, ELECTRIC WATER BOILER   ,86
115,George Foreman Healthy Cooking Grill,$20,Mar 30,GEORGE FOREMAN HEALTHY COOKING GRILL,HEARTH ,75
116,LIMITED TIME OFFER! Finance In-Home Appliances! No Credit Checks!!,$39,Apr 10,LIMITED TIME OFFER  FINANCE IN HOME APPLIANCES  NO CREDIT CHECKS  , HOME SERVER    ,86
117,11612 Hempstead Road NO CREDIT FINANCING AVAILABLE! Home Appliances!,$39,Apr 10,      HEMPSTEAD ROAD NO CREDIT FINANCING AVAILABLE  HOME APPLIANCES , HOME SERVER    ,86
118,Alpine Ice Cream/ Frozen Yogurt Machine,$1300,Mar 27,ALPINE ICE CREAM  FROZEN YOGURT MACHINE, SEWING MACHINE    ,86
119,Insignia 18 Cu. Ft. Refrigerator,$299,Apr  9,INSIGNIA    CU  FT  REFRIGERATOR, REFRIGERATOR     ,90
0,Amana Washer and Dryer,$500,Apr  9,AMANA WASHER AND DRYER, CLOTHES DRYER    ,86
